GEOID,population,station_complex_id,station_complex_name,orig_node,network_dist_m,network_dist_mi
360610295004,1801,296.0,Marble Hill-225 St (1),8952453946,1341.973827656201,0.8338659498031498
360610293004,1078,296.0,Marble Hill-225 St (1),9561420826,1346.6107203622155,0.8367471885134375
360050295003,1290,296.0,Marble Hill-225 St (1),10132643489,1360.1339719430025,0.845150168356595
360050267012,1423,296.0,Marble Hill-225 St (1),42752259,1369.729872044408,0.8511127990632235
360050261001,1994,296.0,Marble Hill-225 St (1),2328996378,1373.4872255935063,0.8534475161205876
360050267026,1535,296.0,Marble Hill-225 St (1),42769918,1374.7647543173546,0.8542413376398739
360050267021,2220,296.0,Marble Hill-225 St (1),11653240898,1389.8469221086277,0.8636129855149488
360050267013,1010,296.0,Marble Hill-225 St (1),42752776,1393.5084301783822,0.8658881468045175
360610293005,2607,296.0,Marble Hill-225 St (1),11596111953,1402.7795345180753,0.8716489582798386
360610293003,3061,296.0,Marble Hill-225 St (1),11586960670,1423.7433454090624,0.8846752988237803
360050279003,1967,296.0,Marble Hill-225 St (1),42751953,1428.9937238123184,0.8879377408206585
360050279002,960,296.0,Marble Hill-225 St (1),11653240777,1435.8951841910384,0.8922261201430639
360610291002,1903,296.0,Marble Hill-225 St (1),10032506100,1446.2060082770913,0.8986329851225293
360050267022,1089,296.0,Marble Hill-225 St (1),7805787936,1476.6246437690238,0.9175342959033044
360050279001,634,296.0,Marble Hill-225 St (1),13033155129,1488.7539260145454,0.925071101205802
360610295003,2128,296.0,Marble Hill-225 St (1),8952453917,1499.8478366252277,0.93196455480211
360050285001,1223,296.0,Marble Hill-225 St (1),1580125557,1500.8792448015759,0.9326054437232505
360610293002,1081,296.0,Marble Hill-225 St (1),11587266303,1519.6301032100553,0.9442567159270604
360050285004,1435,296.0,Marble Hill-225 St (1),13146730911,1530.7491624871316,0.9511657962190287
360050263004,1149,296.0,Marble Hill-225 St (1),13247566635,1577.0487714712021,0.9799351109592767
360610307001,795,297.0,215 St (1),11587266258,137.063522254184,0.085167535917944
360610299002,0,297.0,215 St (1),11591951183,184.38977935626184,0.11457478180885447
360610303001,1526,297.0,215 St (1),11587266235,243.7293716993039,0.15144678669473444
360610307002,1329,297.0,215 St (1),12181615047,413.39853767456873,0.256874580681875
360610293001,1732,297.0,215 St (1),42427873,485.49180518148006,0.3016713716066711
