station_complex_id,year,annual_weekday_avg_ridership,station_complex,borough,latitude,longitude,geometry,log_ridership
87.0,2024,2264.0691823899374,"Crescent St (J,Z)",Brooklyn,40.683193,-73.87379,POINT (-73.87379 40.683193),7.725360581552191
88.0,2023,1544.2371794871794,"Norwood Av (J,Z)",Brooklyn,40.68141,-73.880035,POINT (-73.880035 40.68141),7.342932691780926
88.0,2024,1552.9371069182391,"Norwood Av (J,Z)",Brooklyn,40.68141,-73.880035,POINT (-73.880035 40.68141),7.348547058370005
89.0,2023,1444.6538461538462,Cleveland St (J),Brooklyn,40.679947,-73.884636,POINT (-73.884636 40.679947),7.27631698689218
89.0,2024,1331.9559748427673,Cleveland St (J),Brooklyn,40.679947,-73.884636,POINT (-73.884636 40.679947),7.195154292508596
90.0,2023,1692.0256410256409,"Van Siclen Av (J,Z)",Brooklyn,40.678024,-73.891685,POINT (-73.891685 40.678024),7.434272527337785
90.0,2024,1712.5849056603774,"Van Siclen Av (J,Z)",Brooklyn,40.678024,-73.891685,POINT (-73.891685 40.678024),7.44634289109982
91.0,2023,1300.5384615384614,Alabama Av (J),Brooklyn,40.67699,-73.89865,POINT (-73.89865 40.67699),7.171302275698677
91.0,2024,1301.194968553459,Alabama Av (J),Brooklyn,40.67699,-73.89865,POINT (-73.89865 40.67699),7.171806556990551
93.0,2023,1913.2948717948716,"Chauncey St (J,Z)",Brooklyn,40.68289,-73.91045,POINT (-73.91045 40.68289),7.5571046206456876
93.0,2024,1900.0880503144656,"Chauncey St (J,Z)",Brooklyn,40.68289,-73.91045,POINT (-73.91045 40.68289),7.550181659308722
94.0,2023,3924.5,Halsey St (J),Brooklyn,40.68637,-73.91656,POINT (-73.91656 40.68637),8.27524901063831
94.0,2024,3898.308176100629,Halsey St (J),Brooklyn,40.68637,-73.91656,POINT (-73.91656 40.68637),8.26855442563871
95.0,2023,4613.448717948718,"Gates Av (J,Z)",Brooklyn,40.68963,-73.92227,POINT (-73.92227 40.68963),8.43694768540273
95.0,2024,4724.440251572327,"Gates Av (J,Z)",Brooklyn,40.68963,-73.92227,POINT (-73.92227 40.68963),8.46071601052327
96.0,2023,3707.205128205128,Kosciuszko St (J),Brooklyn,40.69334,-73.92882,POINT (-73.92882 40.69334),8.218303245599296
96.0,2024,4139.3836477987425,Kosciuszko St (J),Brooklyn,40.69334,-73.92882,POINT (-73.92882 40.69334),8.328543731076316
97.0,2023,8389.358974358975,"Myrtle Av (M,J,Z)",Brooklyn,40.69721,-73.93565,POINT (-73.93565 40.69721),9.034838584524381
97.0,2024,8838.66037735849,"Myrtle Av (M,J,Z)",Brooklyn,40.69721,-73.93565,POINT (-73.93565 40.69721),9.087003736042817
98.0,2023,5292.75641025641,"Flushing Av (M,J)",Brooklyn,40.70026,-73.941124,POINT (-73.941124 40.70026),8.574283369309933
98.0,2024,5418.33962264151,"Flushing Av (M,J)",Brooklyn,40.70026,-73.941124,POINT (-73.941124 40.70026),8.597729246169443
99.0,2023,2866.5064102564106,"Lorimer St (M,J)",Brooklyn,40.70387,-73.94741,POINT (-73.94741 40.70387),7.961198084487133
99.0,2024,2873.4591194968557,"Lorimer St (M,J)",Brooklyn,40.70387,-73.94741,POINT (-73.94741 40.70387),7.963619803183421
100.0,2023,1888.2564102564102,"Hewes St (M,J)",Brooklyn,40.70687,-73.95343,POINT (-73.95343 40.70687),7.543938596911566
100.0,2024,2002.5911949685533,"Hewes St (M,J)",Brooklyn,40.70687,-73.95343,POINT (-73.95343 40.70687),7.6026964468683715
101.0,2023,9159.24358974359,"Marcy Av (M,J,Z)",Brooklyn,40.70836,-73.957756,POINT (-73.957756 40.70836),9.122628050081362
101.0,2024,8998.855345911948,"Marcy Av (M,J,Z)",Brooklyn,40.70836,-73.957756,POINT (-73.957756 40.70836),9.104963783512739
103.0,2023,2443.596153846154,"Bowery (J,Z)",Manhattan,40.72028,-73.99391,POINT (-73.99391 40.72028),7.801635216015472
103.0,2024,2461.943396226415,"Bowery (J,Z)",Manhattan,40.72028,-73.99391,POINT (-73.99391 40.72028),7.809112416218785
107.0,2023,4297.955128205128,"Broad St (J,Z)",Manhattan,40.706474,-74.011055,POINT (-74.011055 40.706474),8.366127278713297
107.0,2024,4533.654088050314,"Broad St (J,Z)",Manhattan,40.706474,-74.011055,POINT (-74.011055 40.706474),8.419504083576193
108.0,2023,2951.794871794872,Middle Village-Metropolitan Av (M),Queens,40.711395,-73.8896,POINT (-73.8896 40.711395),7.9905074149880795
108.0,2024,3021.8427672955972,Middle Village-Metropolitan Av (M),Queens,40.711395,-73.8896,POINT (-73.8896 40.711395),8.013952981285065
109.0,2023,4246.858974358975,Fresh Pond Rd (M),Queens,40.706184,-73.895874,POINT (-73.895874 40.706184),8.354170364244286
109.0,2024,4155.471698113208,Fresh Pond Rd (M),Queens,40.706184,-73.895874,POINT (-73.895874 40.706184),8.332421843881008
110.0,2023,3179.0833333333335,Forest Av (M),Queens,40.704422,-73.903076,POINT (-73.903076 40.704422),8.0646626808816
110.0,2024,3324.446540880503,Forest Av (M),Queens,40.704422,-73.903076,POINT (-73.903076 40.704422),8.109359242081958
111.0,2023,2079.166666666667,Seneca Av (M),Queens,40.702763,-73.90774,POINT (-73.90774 40.702763),7.640203297690399
111.0,2024,2132.4591194968552,Seneca Av (M),Queens,40.702763,-73.90774,POINT (-73.90774 40.702763),7.665499941205598
113.0,2023,2844.5064102564106,Knickerbocker Av (M),Brooklyn,40.698666,-73.91971,POINT (-73.91971 40.698666),7.953496330810422
113.0,2024,2934.4150943396226,Knickerbocker Av (M),Brooklyn,40.698666,-73.91971,POINT (-73.91971 40.698666),7.98460415133858
114.0,2023,2775.410256410257,Central Av (M),Brooklyn,40.697857,-73.9274,POINT (-73.9274 40.697857),7.928914097598591
114.0,2024,2880.9496855345915,Central Av (M),Brooklyn,40.697857,-73.9274,POINT (-73.9274 40.697857),7.966222318230317
118.0,2023,4610.782051282051,3 Av (L),Manhattan,40.73285,-73.98612,POINT (-73.98612 40.73285),8.436369623395043
118.0,2024,5005.050314465409,3 Av (L),Manhattan,40.73285,-73.98612,POINT (-73.98612 40.73285),8.518402522773293
119.0,2023,17737.403846153848,1 Av (L),Manhattan,40.730953,-73.98163,POINT (-73.98163 40.730953),9.783487276965188
119.0,2024,19066.11320754717,1 Av (L),Manhattan,40.730953,-73.98163,POINT (-73.98163 40.730953),9.855720308401786
120.0,2023,24335.621794871793,Bedford Av (L),Brooklyn,40.717304,-73.95687,POINT (-73.95687 40.717304),10.099737564586531
120.0,2024,25150.786163522014,Bedford Av (L),Brooklyn,40.717304,-73.95687,POINT (-73.95687 40.717304),10.132684193424424
122.0,2023,6999.0192307692305,Graham Av (L),Brooklyn,40.714565,-73.94405,POINT (-73.94405 40.714565),8.853668175286424
122.0,2024,7212.943396226415,Graham Av (L),Brooklyn,40.714565,-73.94405,POINT (-73.94405 40.714565),8.883771015054329
123.0,2023,4885.23717948718,Grand St (L),Brooklyn,40.711926,-73.94067,POINT (-73.94067 40.711926),8.494177793309849
123.0,2024,4989.3144654088055,Grand St (L),Brooklyn,40.711926,-73.94067,POINT (-73.94067 40.711926),8.515254205879945
124.0,2023,5070.929487179486,Montrose Av (L),Brooklyn,40.70774,-73.93985,POINT (-73.93985 40.70774),8.531476593650448
124.0,2024,5071.899371069183,Montrose Av (L),Brooklyn,40.70774,-73.93985,POINT (-73.93985 40.70774),8.531667801191984
125.0,2023,5291.358974358975,Morgan Av (L),Brooklyn,40.706154,-73.93314,POINT (-73.93314 40.706154),8.574019356335432
125.0,2024,5204.779874213836,Morgan Av (L),Brooklyn,40.706154,-73.93314,POINT (-73.93314 40.706154),8.557524801566785
126.0,2023,5869.8525641025635,Jefferson St (L),Brooklyn,40.706608,-73.92291,POINT (-73.92291 40.706608),8.677755143179036
126.0,2024,6389.993710691824,Jefferson St (L),Brooklyn,40.706608,-73.92291,POINT (-73.92291 40.706608),8.762645045561522
127.0,2023,8677.25,DeKalb Av (L),Brooklyn,40.70381,-73.91843,POINT (-73.91843 40.70381),9.068575174424556
127.0,2024,9069.459119496854,DeKalb Av (L),Brooklyn,40.70381,-73.91843,POINT (-73.91843 40.70381),9.112778161397719
129.0,2023,5544.057692307692,Halsey St (L),Queens,40.695602,-73.90408,POINT (-73.90408 40.695602),8.620662304114056
