station_complex,station_complex_id,borough,latitude,longitude,geometry,avg_annual_ridership,log_avg_ridership
Avenue H (Q),48.0,Brooklyn,40.62927,-73.96164,POINT (-73.96164 40.62927),2296.4204160619256,7.739542214266197
Avenue I (F),246.0,Brooklyn,40.62532,-73.97613,POINT (-73.97613 40.62532),1316.7161949685533,7.183655361806221
Avenue J (Q),49.0,Brooklyn,40.62504,-73.9608,POINT (-73.9608 40.62504),3910.3009192065792,8.271625313551358
Avenue M (Q),50.0,Brooklyn,40.61762,-73.9594,POINT (-73.9594 40.61762),4057.600931301403,8.308593595006549
Avenue N (F),248.0,Brooklyn,40.61514,-73.9742,POINT (-73.9742 40.61514),2090.6926100628934,7.6457288784722754
Avenue P (F),249.0,Brooklyn,40.608944,-73.97302,POINT (-73.97302 40.608944),1863.3101112723753,7.530646350116154
Avenue U (F),251.0,Brooklyn,40.59606,-73.97336,POINT (-73.97336 40.59606),1398.0703918722788,7.2435632892483435
Avenue U (N),78.0,Brooklyn,40.597473,-73.97913,POINT (-73.97913 40.597473),2787.658502660861,7.9333159357637175
Avenue U (Q),52.0,Brooklyn,40.5993,-73.95593,POINT (-73.95593 40.5993),5073.417271407838,8.531966973949366
Avenue X (F),252.0,Brooklyn,40.58962,-73.97425,POINT (-73.97425 40.58962),1847.546444121916,7.522154903363684
Bay 50 St (D),70.0,Brooklyn,40.58884,-73.983765,POINT (-73.983765 40.58884),1906.8326681180454,7.553723148014574
Bay Pkwy (D),68.0,Brooklyn,40.601875,-73.99373,POINT (-73.99373 40.601875),5435.6470730527335,8.60091780296487
Bay Pkwy (F),247.0,Brooklyn,40.62077,-73.975266,POINT (-73.975266 40.62077),949.877298016449,6.857385030053284
Bay Pkwy (N),76.0,Brooklyn,40.611816,-73.98185,POINT (-73.98185 40.611816),5045.586115142719,8.526467276863592
Bay Ridge Av (R),36.0,Brooklyn,40.634968,-74.02338,POINT (-74.02338 40.634968),5780.6608611514275,8.662446266610376
Bay Ridge-95 St (R),39.0,Brooklyn,40.616623,-74.030876,POINT (-74.030876 40.616623),4079.7830188679245,8.31404416537381
Baychester Av (5),443.0,Bronx,40.878662,-73.83859,POINT (-73.83859 40.878662),1888.2839864537978,7.543953193128355
"Beach 105 St (A,S)",202.0,Queens,40.58321,-73.82756,POINT (-73.82756 40.58321),194.15620464441218,5.27380028735339
