station_complex,station_complex_id,borough,latitude,longitude,geometry,year,annual_weekday_avg_ridership,log_ridership
"219 St (2,5)",420.0,Bronx,40.883896,-73.86263,POINT (-73.86263 40.883896),2024,1454.9371069182391,7.283405032025753
"225 St (2,5)",419.0,Bronx,40.888023,-73.860344,POINT (-73.860344 40.888023),2023,1961.3012820512822,7.581873186976185
"225 St (2,5)",419.0,Bronx,40.888023,-73.860344,POINT (-73.860344 40.888023),2024,1851.4779874213837,7.524279474466112
23 St (1),320.0,Manhattan,40.74408,-73.99566,POINT (-73.99566 40.74408),2023,9832.128205128205,9.193512392946781
23 St (1),320.0,Manhattan,40.74408,-73.99566,POINT (-73.99566 40.74408),2024,9935.415094339623,9.203961580106151
23 St (6),405.0,Manhattan,40.739864,-73.9866,POINT (-73.9866 40.739864),2023,19300.26923076923,9.86792613598296
23 St (6),405.0,Manhattan,40.739864,-73.9866,POINT (-73.9866 40.739864),2024,19687.77358490566,9.887803883502633
"23 St (C,E)",165.0,Manhattan,40.745907,-73.99804,POINT (-73.99804 40.745907),2023,14762.5,9.599913197415486
"23 St (C,E)",165.0,Manhattan,40.745907,-73.99804,POINT (-73.99804 40.745907),2024,16127.566037735849,9.688347266841028
"23 St (F,M)",228.0,Manhattan,40.742878,-73.99282,POINT (-73.99282 40.742878),2023,19013.115384615383,9.852936897303602
"23 St (F,M)",228.0,Manhattan,40.742878,-73.99282,POINT (-73.99282 40.742878),2024,20212.396226415094,9.91410084310843
"23 St (R,W)",14.0,Manhattan,40.741302,-73.98934,POINT (-73.98934 40.741302),2023,13741.78205128205,9.52826902353963
"23 St (R,W)",14.0,Manhattan,40.741302,-73.98934,POINT (-73.98934 40.741302),2024,14441.610062893082,9.577938148391008
231 St (1),295.0,Bronx,40.878857,-73.90483,POINT (-73.90483 40.878857),2023,6313.615384615385,8.750622127880774
231 St (1),295.0,Bronx,40.878857,-73.90483,POINT (-73.90483 40.878857),2024,5823.25786163522,8.669786864589243
